Nr wiersza;Nr zamówienia;Data zamówienia;Priorytet zamówienia;Wielkoœæ zamówienia;Rodzaj transportu;Rodzaj opakowania;Segment rynku;Nr klienta;Kategoria produktu;Podkategoria produktu;Nazwa produktu;Sprzeda¿;Cena jednostkowa;Rabat procentowy;Mar¿a podstawowa;Koszt dostawy;Zysk
1799;PL-2013-012897;2019-07-18;nieokreœlony;53;lotniczy standardowy;ma³e pude³ko;korporacja;K01129;artyku³y biurowe;etykiety;Avery 487;672.98;12.915;0.03;0.38;1.75;209.72
1800;PL-2013-012897;2019-07-18;nieokreœlony;42;lotniczy ekspresowy;ma³e pude³ko;korporacja;K01129;artyku³y biurowe;papier;Xerox 216;1003.17;22.68;0.05;0.37;27.685;-423.325
18003;PL-2013-085838;2019-07-15;wysoki;9;lotniczy standardowy;œrednie pude³ko;korporacja;K02067;meble;wyposa¿enie wnêtrza;"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";3402.105;376.355;0.07;0.65;20.335;2347.45245
18004;PL-2013-085838;2019-07-15;wysoki;8;l¹dowy;wielkie pud³o;korporacja;K02067;meble;sto³y;KI Conference Tables;2054.955;248.115;0.09;0.72;312.55;-6119.96
18005;PL-2013-085838;2019-07-15;wysoki;8;lotniczy standardowy;œrednie pude³ko;korporacja;K02067;urz¹dzenia techniczne;telefony;Bell Sonecor JB700 Caller ID;195.055;27.965;0.04;0.6;17.605;-297.9515
18006;PL-2013-085838;2019-07-15;wysoki;5;lotniczy standardowy;ma³e opakowanie;korporacja;K02065;urz¹dzenia techniczne;akcesoria komputerowe;Imation 3.5 IBM Diskettes, 10/Box;163.975;29.61;0.04;0.79;31.465;56.091
18007;PL-2013-085847;2019-10-22;nieokreœlony;15;lotniczy standardowy;woreczek foliowy;korporacja;K01798;artyku³y biurowe;akcesoria piœmiennicze;Dixon Ticonderoga Core-Lock Colored Pencils;504.98;31.885;0.03;0.52;7.875;195.5184
18008;PL-2013-085847;2019-10-22;nieokreœlony;7;lotniczy standardowy;ma³e pude³ko;korporacja;K01798;urz¹dzenia techniczne;telefony;CF 688;3312.47;545.965;0.01;0.58;31.465;157.73814
18009;PL-2013-085849;2019-11-02;krytyczny;39;lotniczy standardowy;ma³e pude³ko;biuro w domu;K02905;urz¹dzenia techniczne;telefony;6162i;7373.205;230.965;0.1;0.55;14.7;5062.5729
18010;PL-2013-085852;2019-03-17;krytyczny;9;lotniczy standardowy;ma³e opakowanie;korporacja;K03145;urz¹dzenia techniczne;akcesoria komputerowe;Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle;3753.155;405.265;0.02;0.49;6.965;2589.67695
18025;PL-2013-085973;2019-10-20;nieokreœlony;12;lotniczy standardowy;ma³e opakowanie;osoba fizyczna;K00210;urz¹dzenia techniczne;akcesoria komputerowe;"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack";211.435;17.43;0.09;0.64;16.17;-337.365
18026;PL-2013-085983;2019-09-11;wysoki;5;lotniczy ekspresowy;ma³e pude³ko;osoba fizyczna;K03337;urz¹dzenia techniczne;telefony;i270;993.895;230.965;0.02;0.55;31.465;1401.6429
18031;PL-2013-086035;2019-04-06;wysoki;6;lotniczy standardowy;ma³e opakowanie;biuro w domu;K02641;artyku³y biurowe;no¿yczki i linijki;"Acme® 8"" Straight Scissors";283.535;45.43;0.01;0.6;10.99;1.281
18035;PL-2013-086046;2019-05-24;krytyczny;9;lotniczy standardowy;woreczek foliowy;biuro w domu;K01847;artyku³y biurowe;akcesoria piœmiennicze;Newell 314;166.145;19.53;0.06;0.6;2.45;63.945
18036;PL-2013-086046;2019-05-24;krytyczny;1;lotniczy standardowy;woreczek foliowy;biuro w domu;K01847;artyku³y biurowe;akcesoria piœmiennicze;Prismacolor Color Pencil Set;82.95;69.44;0.05;0.44;14.35;-31.395
18058;PL-2013-086169;2019-06-03;wysoki;14;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K02350;artyku³y biurowe;segregatory;DXL™ Angle-View Binders with Locking Rings, Black;314.58;20.965;0.03;0.38;17.22;-123.5836
18059;PL-2013-086169;2019-06-03;wysoki;7;lotniczy standardowy;woreczek foliowy;osoba fizyczna;K02351;artyku³y biurowe;spinacze i zszywki;Advantus Push Pins, Aluminum Head;145.495;20.335;0.05;0.54;11.795;-59.64
18066;PL-2013-086207;2019-01-24;wysoki;1;lotniczy standardowy;ma³e pude³ko;korporacja;K03295;artyku³y biurowe;etykiety;Avery 501;13.09;12.915;0.02;0.38;1.75;-0.1302
18067;PL-2013-086207;2019-01-24;wysoki;1;lotniczy standardowy;woreczek foliowy;korporacja;K03295;artyku³y biurowe;akcesoria piœmiennicze;Avery Hi-Liter Pen Style Six-Color Fluorescent Set;13.72;13.475;0.09;0.44;2.45;-6.9006
18072;PL-2013-086239;2019-10-30;nieokreœlony;4;lotniczy standardowy;ma³e pude³ko;ma³a firma;K03274;artyku³y biurowe;papier;Xerox 190;75.775;17.43;0.09;0.38;17.01;-78.2082
18073;PL-2013-086239;2019-10-30;nieokreœlony;3;lotniczy standardowy;ma³e pude³ko;ma³a firma;K03274;artyku³y biurowe;papier;Xerox 1950;72.975;20.23;0.03;0.36;18.795;-55.0368
18074;PL-2013-086022;2019-08-20;œredni;11;lotniczy standardowy;ma³e pude³ko;korporacja;K00450;urz¹dzenia techniczne;telefony;iDENi80s;2034.2;230.965;0.09;0.59;69.965;-518.0175
18075;PL-2013-086254;2019-07-19;wysoki;15;lotniczy standardowy;ma³e pude³ko;korporacja;K00546;meble;wyposa¿enie wnêtrza;Eldon® Expressions™ Wood Desk Accessories, Oak;416.15;25.83;0.02;0.56;18.235;-171.395
18076;PL-2013-086262;2019-03-04;nieokreœlony;8;lotniczy ekspresowy;ma³e opakowanie;osoba fizyczna;K02206;artyku³y biurowe;akcesoria piœmiennicze;Panasonic KP-350BK Electric Pencil Sharpener with Auto Stop;966.28;121.03;0.05;0.56;31.465;382.655
18077;PL-2013-086262;2019-03-04;nieokreœlony;10;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K02206;artyku³y biurowe;teczki;Hanging Personal Folder File;543.725;54.95;0.05;0.6;39.375;-738.955
18078;PL-2013-086265;2019-12-26;niski;21;lotniczy standardowy;woreczek foliowy;ma³a firma;K00899;artyku³y biurowe;spinacze i zszywki;Staples Bulk Pack Metal Binder Clips;409.85;21.28;0.09;0.35;6.37;282.7965
1808;PL-2013-012930;2019-11-24;wysoki;167;lotniczy standardowy;ma³e pude³ko;korporacja;K01413;artyku³y biurowe;przyrz¹dy;Belkin F5C206VTEL 6 Outlet Surge;13689.69;80.43;0.06;0.55;15.75;916.545
18080;PL-2013-086282;2019-07-10;wysoki;10;lotniczy standardowy;ma³e pude³ko;korporacja;K00767;urz¹dzenia techniczne;telefony;R380;5793.375;685.965;0.08;0.58;13.965;3997.42875
18082;PL-2013-086295;2019-05-19;niski;2;lotniczy standardowy;du¿e pude³ko;biuro w domu;K02899;meble;krzes³a;Lifetime Advantage™ Folding Chairs, 4/Carton;1527.785;763.28;0.06;0.57;63.21;-326.242
18083;PL-2013-086295;2019-05-19;niski;19;lotniczy ekspresowy;ma³e pude³ko;biuro w domu;K02899;artyku³y biurowe;teczki;Decoflex Hanging Personal Folder File, Blue;1117.165;53.97;0.01;0.58;37.38;-1078.24059
18084;PL-2013-086302;2019-04-30;wysoki;9;l¹dowy;kontener;biuro w domu;K00262;meble;krzes³a;Global Leather & Oak Executive Chair, Burgundy;5190.745;528.115;0;0.77;210.7;-2395.995
18093;PL-2013-086342;2019-08-01;krytyczny;19;lotniczy ekspresowy;ma³e pude³ko;biuro w domu;K01695;artyku³y biurowe;papier;Xerox 195;496.405;23.38;0.02;0.37;18.935;2684.745
18097;PL-2013-086354;2019-06-17;wysoki;5;lotniczy standardowy;ma³e pude³ko;korporacja;K00561;artyku³y biurowe;segregatory;Angle-D Binders with Locking Rings, Label Holders;136.43;25.55;0.03;0.38;27.02;-151.3078
18098;PL-2013-086354;2019-06-17;wysoki;9;lotniczy standardowy;ma³e pude³ko;korporacja;K00561;artyku³y biurowe;teczki;SAFCO Mobile Desk Side File, Wire Frame;1295.91;149.66;0.09;NA;21.77;536.34
18103;PL-2013-086377;2019-03-24;wysoki;6;lotniczy ekspresowy;du¿e pude³ko;korporacja;K02397;artyku³y biurowe;teczki;SAFCO Commercial Wire Shelving, Black;2781.835;483.49;0.07;NA;122.5;-2433.41
18108;PL-2013-086429;2019-09-08;krytyczny;20;lotniczy standardowy;woreczek foliowy;osoba fizyczna;K02954;artyku³y biurowe;akcesoria piœmiennicze;Newell 326;125.23;6.16;0.05;0.56;2.45;2.87
18114;PL-2013-086451;2019-07-15;œredni;2;lotniczy standardowy;ma³e pude³ko;korporacja;K03190;artyku³y biurowe;etykiety;Avery White Multi-Purpose Labels;32.69;17.43;0.09;0.39;1.715;12.11
18116;PL-2013-086461;2019-06-16;krytyczny;7;lotniczy standardowy;ma³e pude³ko;biuro w domu;K00907;artyku³y biurowe;papier;Xerox 1949;120.925;17.43;0.08;0.36;16.52;587.454
18120;PL-2013-086481;2019-12-03;krytyczny;9;lotniczy standardowy;du¿e pude³ko;ma³a firma;K03029;artyku³y biurowe;przyrz¹dy;Hoover Portapower™ Portable Vacuum;234.535;15.68;0.03;0.6;171.5;-1316.2275
18121;PL-2013-086487;2019-03-17;krytyczny;10;lotniczy standardowy;woreczek foliowy;ma³a firma;K02661;artyku³y biurowe;spinacze i zszywki;Bagged Rubber Bands;43.575;4.41;0.1;0.81;2.45;-67.095
18122;PL-2013-086487;2019-03-17;krytyczny;2;lotniczy standardowy;woreczek foliowy;ma³a firma;K02662;artyku³y biurowe;akcesoria piœmiennicze;Dixon Prang® Watercolor Pencils, 10-Color Set with Brush;27.895;14.91;0.1;0.44;4.2;-4.375
18124;PL-2013-086503;2019-01-04;krytyczny;9;lotniczy standardowy;ma³e pude³ko;korporacja;K01906;artyku³y biurowe;segregatory;Fellowes Binding Cases;361.375;40.95;0.08;0.4;19.705;33.84717
18125;PL-2013-086503;2019-01-04;krytyczny;1;lotniczy standardowy;ma³e pude³ko;korporacja;K01906;urz¹dzenia techniczne;urz¹dzenia biurowe;AT&T Black Trimline Phone, Model 210;67.375;55.965;0.09;0.49;32.9;-226.283694
18126;PL-2013-086512;2019-07-04;nieokreœlony;13;lotniczy standardowy;œrednie pude³ko;ma³a firma;K03224;meble;wyposa¿enie wnêtrza;DAX Value U-Channel Document Frames, Easel Back;230.475;17.395;0.02;0.54;19.985;-1125.971
18132;PL-2013-086417;2019-10-07;nieokreœlony;9;lotniczy standardowy;ma³e pude³ko;ma³a firma;K01108;artyku³y biurowe;papier;Xerox 23;219.03;22.68;0.02;0.37;17.99;-88.7544
18137;PL-2013-086570;2019-11-14;niski;14;lotniczy standardowy;ma³e pude³ko;biuro w domu;K00945;meble;wyposa¿enie wnêtrza;Eldon Expressions Mahogany Wood Desk Collection;302.47;21.84;0.06;0.6;18.27;24.479
18143;PL-2013-086622;2019-03-01;niski;6;lotniczy ekspresowy;ma³e pude³ko;osoba fizyczna;K00237;artyku³y biurowe;przyrz¹dy;Belkin 8 Outlet SurgeMaster II Gold Surge Protector;1222.69;209.93;0.06;0.57;13.965;843.6561
18144;PL-2013-086622;2019-03-01;niski;7;lotniczy ekspresowy;ma³e pude³ko;osoba fizyczna;K00237;meble;wyposa¿enie wnêtrza;DAX Clear Channel Poster Frame;367.675;51.03;0.02;0.48;25.9;157.5
18153;PL-2013-086663;2019-05-19;œredni;20;lotniczy standardowy;ma³e pude³ko;korporacja;K03057;artyku³y biurowe;segregatory;Avery Hanging File Binders;441.035;20.93;0.02;0.39;5.215;304.31415
18154;PL-2013-086663;2019-05-19;œredni;2;lotniczy standardowy;woreczek foliowy;korporacja;K03055;artyku³y biurowe;akcesoria piœmiennicze;Peel-Off® China Markers;70.035;34.755;0.02;0.43;3.815;-4.48
18155;PL-2013-086674;2019-05-14;niski;16;l¹dowy;wielkie pud³o;korporacja;K01591;meble;sto³y;Global Adaptabilities™ Conference Tables;14973.665;983.43;0.07;0.66;124.845;-2376.655281
18160;PL-2013-086517;2019-05-30;œredni;18;lotniczy standardowy;woreczek foliowy;biuro w domu;K02472;meble;wyposa¿enie wnêtrza;Ultra Commercial Grade Dual Valve Door Closer;2486.435;139.615;0.03;0.53;10.64;1715.64015
18173;PL-2013-086775;2019-08-21;œredni;14;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K01115;artyku³y biurowe;papier;Xerox 1949;248.815;17.43;0.07;0.36;16.52;-91.2548
18174;PL-2013-086225;2019-09-18;nieokreœlony;23;lotniczy standardowy;œrednie pude³ko;osoba fizyczna;K03094;meble;wyposa¿enie wnêtrza;"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle";8956.465;388.43;0.01;0.69;48.965;4253.48
18182;PL-2013-086855;2019-11-06;œredni;30;l¹dowy;kontener;biuro w domu;K01863;meble;sto³y;"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf";10598.875;352.8;0.08;0.59;210;170.522352
18200;PL-2013-086969;2019-05-18;wysoki;17;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K01574;artyku³y biurowe;segregatory;Fellowes Binding Cases;707.805;40.95;0.06;0.4;19.705;-32.879
18201;PL-2013-086969;2019-05-18;wysoki;16;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K01574;artyku³y biurowe;papier;Xerox 1922;269.57;17.43;0.08;0.36;26.04;-251.958
18202;PL-2013-086969;2019-05-18;wysoki;11;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K01574;artyku³y biurowe;papier;Xerox 1981;208.04;18.48;0.06;0.4;19.495;18343.248
18215;PL-2013-087022;2019-08-15;krytyczny;22;l¹dowy;wielkie pud³o;ma³a firma;K00602;meble;sto³y;Balt Solid Wood Rectangular Table;7929.18;369.215;0.07;0.75;145.74;-1807.897
18216;PL-2013-087027;2019-08-09;niski;20;lotniczy standardowy;ma³e opakowanie;ma³a firma;K03060;meble;wyposa¿enie wnêtrza;"Executive Impressions 12"" Wall Clock";1239.875;61.845;0.01;0.47;31.465;-325.752
18222;PL-2013-087048;2019-01-09;œredni;1;lotniczy standardowy;ma³e pude³ko;korporacja;K02998;artyku³y biurowe;segregatory;GBC DocuBind 200 Manual Binding Machine;1547.105;1473.43;0;0.35;69.965;-89.18917
18223;PL-2013-087048;2019-01-09;œredni;8;lotniczy standardowy;ma³e opakowanie;korporacja;K02998;artyku³y biurowe;akcesoria piœmiennicze;Staples SlimLine Pencil Sharpener;316.855;41.895;0.08;0.6;20.335;-322.0714
18228;PL-2013-087100;2019-06-17;nieokreœlony;6;lotniczy standardowy;ma³e pude³ko;korporacja;K03162;urz¹dzenia techniczne;telefony;T60;1816.22;335.965;0;0.56;17.15;629.2566
18229;PL-2013-087107;2019-03-09;niski;9;lotniczy standardowy;ma³e pude³ko;korporacja;K00565;artyku³y biurowe;segregatory;"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""";488.565;55.965;0.1;0.37;46.13;-605.07825
18230;PL-2013-087107;2019-03-09;niski;11;lotniczy standardowy;ma³e opakowanie;korporacja;K00565;urz¹dzenia techniczne;akcesoria komputerowe;"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack";187.425;17.115;0.05;0.66;17.255;-505.925
18235;PL-2013-087140;2019-09-12;œredni;13;lotniczy standardowy;woreczek foliowy;ma³a firma;K00922;artyku³y biurowe;papier;Rediform S.O.S. Phone Message Books;233.905;17.43;0.05;0.36;2.8;161.39445
18236;PL-2013-087140;2019-09-12;œredni;5;lotniczy standardowy;ma³e pude³ko;ma³a firma;K00922;urz¹dzenia techniczne;telefony;8860;919.94;230.965;0.08;0.56;18.41;-514.5525
18240;PL-2013-087181;2019-02-07;nieokreœlony;10;lotniczy ekspresowy;du¿e pude³ko;korporacja;K00090;artyku³y biurowe;teczki;Belkin OmniView SE Rackmount Kit;1191.47;124.18;0.1;0.85;122.5;-4168.955
18241;PL-2013-087181;2019-02-07;nieokreœlony;3;lotniczy standardowy;ma³e pude³ko;korporacja;K00091;urz¹dzenia techniczne;akcesoria komputerowe;US Robotics 56K V.92 External Faxmodem;1075.515;349.965;0.07;0.52;69.965;-334.32
18242;PL-2013-087181;2019-02-07;nieokreœlony;13;lotniczy standardowy;ma³e opakowanie;korporacja;K00091;artyku³y biurowe;akcesoria piœmiennicze;Boston School Pro Electric Pencil Sharpener, 1670;1305.535;108.43;0.08;0.58;31.465;68.495
18243;PL-2013-087189;2019-08-19;nieokreœlony;12;lotniczy standardowy;ma³e pude³ko;biuro w domu;K02972;artyku³y biurowe;papier;Strathmore Photo Mount Cards;285.495;23.73;0.09;0.39;21.63;-113.204
18245;PL-2013-087212;2019-10-17;krytyczny;9;lotniczy ekspresowy;ma³e pude³ko;korporacja;K02526;artyku³y biurowe;segregatory;GBC ProClick™ 150 Presentation Binding System;9354.135;1105.93;0.09;0.38;69.965;1838.697
18249;PL-2013-087230;2019-05-06;wysoki;9;lotniczy standardowy;woreczek foliowy;biuro w domu;K00220;artyku³y biurowe;akcesoria piœmiennicze;SANFORD Liquid Accent™ Tank-Style Highlighters;92.085;9.94;0.06;0.54;3.255;17.15
18255;PL-2013-087242;2019-03-13;wysoki;3;lotniczy standardowy;woreczek foliowy;korporacja;K02822;artyku³y biurowe;spinacze i zszywki;Plymouth Boxed Rubber Bands by Plymouth;48.65;16.485;0.05;0.8;2.45;-27.16
18285;PL-2013-087386;2019-10-05;nieokreœlony;4;lotniczy standardowy;ma³e pude³ko;korporacja;K02607;artyku³y biurowe;teczki;Tenex Personal Project File with Scoop Front Design, Black;189.98;47.18;0.04;0.59;15.785;-64.2222
18297;PL-2013-087439;2019-02-06;krytyczny;11;l¹dowy;kontener;osoba fizyczna;K03228;meble;krzes³a;Global Troy™ Executive Leather Low-Back Tilter;19094.845;1753.43;0.01;0.6;441;13175.44305
18298;PL-2013-087439;2019-02-06;krytyczny;2;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K03228;urz¹dzenia techniczne;telefony;7160;771.785;493.465;0.08;0.59;14.7;-1573.341
18312;PL-2013-086691;2019-09-12;œredni;20;lotniczy standardowy;ma³e pude³ko;biuro w domu;K01933;artyku³y biurowe;etykiety;Avery 494;179.48;9.135;0.06;0.39;1.75;123.8412
18313;PL-2013-086691;2019-09-12;œredni;1;lotniczy ekspresowy;woreczek foliowy;biuro w domu;K01934;artyku³y biurowe;spinacze i zszywki;OIC Bulk Pack Metal Binder Clips;18.515;12.215;0.01;0.39;2.66;8.855
18314;PL-2013-087496;2019-04-30;nieokreœlony;2;lotniczy standardowy;ma³e pude³ko;biuro w domu;K01550;artyku³y biurowe;segregatory;Ibico Covers for Plastic or Wire Binding Elements;82.075;40.25;0.07;0.4;25.165;-94.46675
18315;PL-2013-087496;2019-04-30;nieokreœlony;11;lotniczy standardowy;du¿e pude³ko;biuro w domu;K01550;urz¹dzenia techniczne;kopiarki i faksy;Hewlett Packard LaserJet 3310 Copier;21861.49;2099.965;0.09;0.37;85.715;15084.4281
18331;PL-2013-087111;2019-01-01;nieokreœlony;3;lotniczy standardowy;ma³e opakowanie;biuro w domu;K01068;urz¹dzenia techniczne;akcesoria komputerowe;"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack";69.86;20.93;0.01;0.75;15.33;-199.7702
18332;PL-2013-087111;2019-01-01;nieokreœlony;6;lotniczy standardowy;ma³e pude³ko;biuro w domu;K01068;artyku³y biurowe;papier;White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11;845.32;143.465;0.06;0.36;69.965;89.5622
18338;PL-2013-087576;2019-07-25;wysoki;5;lotniczy standardowy;ma³e pude³ko;korporacja;K02075;artyku³y biurowe;segregatory;"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""";132.405;26.075;0.05;0.4;21.98;-162.2075
18340;PL-2013-087596;2019-09-03;niski;3;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K01189;artyku³y biurowe;segregatory;Durable Pressboard Binders;40.53;13.3;0.05;0.38;5.215;-4.54825
18341;PL-2013-087609;2019-05-01;wysoki;12;lotniczy standardowy;ma³e pude³ko;biuro w domu;K01315;meble;wyposa¿enie wnêtrza;Eldon Executive Woodline II Cherry Finish Desk Accessories;1793.925;143.115;0.01;0.57;66.43;332.36
18350;PL-2013-087660;2019-09-10;nieokreœlony;7;lotniczy ekspresowy;ma³e pude³ko;korporacja;K00023;artyku³y biurowe;papier;Xerox 1929;577.885;79.94;0.07;0.39;19.145;291.34
18353;PL-2013-087562;2019-06-23;krytyczny;12;lotniczy standardowy;ma³e opakowanie;osoba fizyczna;K02794;urz¹dzenia techniczne;akcesoria komputerowe;80 Minute CD-R Spindle, 100/Pack - Staples;1623.685;138.18;0.04;0.54;6.965;1120.34265
18355;PL-2013-086442;2019-07-15;nieokreœlony;10;l¹dowy;kontener;korporacja;K00608;urz¹dzenia techniczne;urz¹dzenia biurowe;Panasonic KX-P1150 Dot Matrix Printer;4838.715;509.075;0.09;0.56;62.475;2053.135
18362;PL-2013-087714;2019-10-10;wysoki;19;lotniczy standardowy;ma³e pude³ko;korporacja;K00048;artyku³y biurowe;etykiety;Self-Adhesive Address Labels for Typewriters by Universal;480.97;25.585;0.03;0.38;1.715;331.8693
18363;PL-2013-087714;2019-10-10;wysoki;12;lotniczy standardowy;woreczek foliowy;korporacja;K00048;urz¹dzenia techniczne;telefony;Accessory37;745.57;73.465;0.01;0.81;8.75;-298.46124
18374;PL-2013-087763;2019-12-13;nieokreœlony;7;l¹dowy;wielkie pud³o;korporacja;K01978;meble;szafki;Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish;22171.1;3083.43;0.04;0.62;155.925;12192.81
18375;PL-2013-087763;2019-12-13;nieokreœlony;2;lotniczy standardowy;ma³e opakowanie;korporacja;K01978;meble;wyposa¿enie wnêtrza;Advantus Panel Wall Acrylic Frame;44.065;19.145;0.09;0.42;18.41;30.40485
18376;PL-2013-087763;2019-12-13;nieokreœlony;15;lotniczy ekspresowy;ma³e pude³ko;korporacja;K01979;artyku³y biurowe;papier;Xerox 1984;377.405;22.68;0.01;0.36;30.59;-219.8
18377;PL-2013-087766;2019-09-07;nieokreœlony;8;lotniczy standardowy;ma³e pude³ko;ma³a firma;K00683;artyku³y biurowe;etykiety;Avery 504;84.665;10.08;0.02;0.36;1.75;58.41885
18384;PL-2013-087802;2019-10-16;wysoki;15;l¹dowy;kontener;biuro w domu;K03302;artyku³y biurowe;przyrz¹dy;Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators;14554.33;979.335;0.05;0.59;81.165;57163.449
18385;PL-2013-087802;2019-10-16;wysoki;18;lotniczy standardowy;ma³e pude³ko;biuro w domu;K03302;urz¹dzenia techniczne;telefony;i270;3649.275;230.965;0.02;0.55;31.465;3409.7679
18386;PL-2013-087806;2019-09-22;œredni;17;lotniczy standardowy;ma³e pude³ko;ma³a firma;K00401;artyku³y biurowe;papier;Xerox 1905;401.66;22.68;0.04;0.37;33.39;-662.655
18387;PL-2013-087806;2019-09-22;œredni;16;lotniczy ekspresowy;ma³e pude³ko;ma³a firma;K00401;artyku³y biurowe;teczki;Decoflex Hanging Personal Folder File, Blue;827.75;53.97;0.09;0.58;37.38;-650.3
18406;PL-2013-087857;2019-07-19;krytyczny;13;l¹dowy;kontener;korporacja;K01792;meble;krzes³a;Bevis Steel Folding Chairs;4146.87;335.825;0.07;0.57;260.225;-6181.035
