Nr wiersza;Nr zamówienia;Data zamówienia;Priorytet zamówienia;Wielkoœæ zamówienia;Rodzaj transportu;Rodzaj opakowania;Segment rynku;Nr klienta;Kategoria produktu;Podkategoria produktu;Nazwa produktu;Sprzeda¿;Cena jednostkowa;Rabat procentowy;Mar¿a podstawowa;Koszt dostawy;Zysk
18277;PL-2011-086950;2017-05-29;œredni;2;lotniczy standardowy;ma³e pude³ko;korporacja;K02393;artyku³y biurowe;papier;Xerox 216;57.75;22.68;0.02;0.37;27.685;-4170.341
18278;PL-2011-087347;2017-01-17;œredni;6;l¹dowy;kontener;ma³a firma;K00366;artyku³y biurowe;przyrz¹dy;Sanyo Counter Height Refrigerator with Crisper, 3.6 Cubic Foot, Stainless Steel/Black;6887.93;1148.49;0.05;0.57;318.675;1440.3102
18281;PL-2011-087365;2017-03-15;wysoki;6;l¹dowy;wielkie pud³o;korporacja;K00083;meble;sto³y;Hon 94000 Series Round Tables;6376.615;1036.63;0.04;0.76;189.42;-2505.223721
18283;PL-2011-087378;2017-09-01;nieokreœlony;15;l¹dowy;kontener;biuro w domu;K01885;urz¹dzenia techniczne;urz¹dzenia biurowe;Epson LQ-870 Dot Matrix Printer;24601.85;1874.74;0.05;0.59;51.45;15426.04
18284;PL-2011-087378;2017-09-01;nieokreœlony;1;lotniczy standardowy;ma³e pude³ko;biuro w domu;K01882;artyku³y biurowe;papier;Xerox 1978;39.725;20.23;0.09;0.36;19.845;-27.86
18294;PL-2011-087425;2017-06-01;nieokreœlony;6;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K01556;artyku³y biurowe;etykiety;Avery 482;58.345;10.115;0.06;0.38;3.465;-7.03395
18295;PL-2011-087425;2017-06-01;nieokreœlony;9;lotniczy standardowy;ma³e pude³ko;osoba fizyczna;K01556;artyku³y biurowe;papier;Xerox 1964;683.06;79.94;0.08;0.39;40.39;-1670.802
18303;PL-2011-087357;2017-10-18;krytyczny;11;lotniczy ekspresowy;ma³e pude³ko;korporacja;K00507;artyku³y biurowe;papier;Xerox 1908;2264.395;195.93;0.01;0.36;17.01;115.29315
18304;PL-2011-087357;2017-10-18;krytyczny;17;lotniczy standardowy;ma³e pude³ko;korporacja;K00507;urz¹dzenia techniczne;telefony;Talkabout T8367;3312.015;230.965;0.04;0.56;31.465;459.669
18305;PL-2011-087357;2017-10-18;krytyczny;4;lotniczy standardowy;œrednie pude³ko;korporacja;K00508;meble;krzes³a;SAFCO Folding Chair Trolley;1939.28;448.84;0.01;NA;44.275;490.4739
18306;PL-2011-085865;2017-03-28;œredni;10;lotniczy standardowy;ma³e pude³ko;korporacja;K01738;urz¹dzenia techniczne;telefony;5165;5202.19;615.965;0.08;0.59;17.465;-57668.933
18311;PL-2011-087473;2017-06-02;œredni;8;l¹dowy;wielkie pud³o;korporacja;K03374;meble;sto³y;Bevis Round Conference Table Top, X-Base;5207.65;627.515;0.01;0.76;102.235;232.26777
18320;PL-2011-087474;2017-06-29;wysoki;8;lotniczy standardowy;ma³e pude³ko;biuro w domu;K03374;urz¹dzenia techniczne;akcesoria komputerowe;Keytronic 105-Key Spanish Keyboard;2101.4;258.93;0.05;0.67;42.49;-6.664
18321;PL-2011-087474;2017-06-29;wysoki;5;lotniczy standardowy;ma³e pude³ko;biuro w domu;K03374;artyku³y biurowe;papier;Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright);119.875;20.93;0;0.36;25.025;-129.668
18322;PL-2011-087474;2017-06-29;wysoki;9;lotniczy standardowy;ma³e opakowanie;biuro w domu;K03374;artyku³y biurowe;akcesoria piœmiennicze;Barrel Sharpener;110.075;12.495;0.09;0.59;14.595;-199.108
18345;PL-2011-086591;2017-01-16;krytyczny;2;lotniczy standardowy;œrednie pude³ko;osoba fizyczna;K02924;meble;wyposa¿enie wnêtrza;"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle";792.855;388.43;0.02;0.69;48.965;-372.1984
18346;PL-2011-086591;2017-01-16;krytyczny;8;lotniczy standardowy;woreczek foliowy;osoba fizyczna;K02924;artyku³y biurowe;papier;TOPS Money Receipt Book, Consecutively Numbered in Red,;240.275;28.035;0.01;0.4;10.045;157.4188
18347;PL-2011-086867;2017-03-11;nieokreœlony;9;lotniczy standardowy;ma³e pude³ko;korporacja;K00796;artyku³y biurowe;segregatory;Avery Printable Repositionable Plastic Tabs;277.9;30.1;0.06;0.38;21.665;-161.4025
18349;PL-2011-086190;2017-08-21;nieokreœlony;6;l¹dowy;kontener;korporacja;K00555;urz¹dzenia techniczne;urz¹dzenia biurowe;Lexmark 4227 Plus Dot Matrix Printer;36158.815;7127.68;0.07;0.55;51.45;21099.435
18354;PL-2011-087676;2017-03-05;krytyczny;6;lotniczy standardowy;œrednie pude³ko;biuro w domu;K02696;meble;wyposa¿enie wnêtrza;"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";2145.22;376.355;0.05;0.65;20.335;-312.963
18361;PL-2011-087554;2017-03-20;œredni;2;lotniczy standardowy;ma³e pude³ko;korporacja;K02794;artyku³y biurowe;etykiety;Avery 479;18.235;9.135;0.06;0.39;1.75;12.58215
18394;PL-2011-087823;2017-04-08;niski;12;lotniczy standardowy;ma³e opakowanie;osoba fizyczna;K01614;urz¹dzenia techniczne;akcesoria komputerowe;TDK 4.7GB DVD-R Spindle, 15/Pack;1730.715;143.395;0.06;0.42;6.965;1194.19335
18395;PL-2011-087135;2017-05-20;nieokreœlony;14;lotniczy ekspresowy;ma³e pude³ko;ma³a firma;K00922;urz¹dzenia techniczne;telefony;5180;2737;230.965;0.01;0.56;31.465;1389.402
18400;PL-2011-087831;2017-04-02;wysoki;4;lotniczy standardowy;ma³e pude³ko;biuro w domu;K02667;artyku³y biurowe;przyrz¹dy;Kensington 6 Outlet MasterPiece® HOMEOFFICE Power Control Center;1249.22;315.84;0.04;0.56;3.465;861.9618
18401;PL-2011-087831;2017-04-02;wysoki;3;lotniczy ekspresowy;ma³e pude³ko;biuro w domu;K02667;artyku³y biurowe;papier;Xerox 1938;476.56;167.65;0.09;0.37;20.51;328.8264
18404;PL-2011-087846;2017-04-17;krytyczny;6;lotniczy standardowy;ma³e pude³ko;ma³a firma;K01041;urz¹dzenia techniczne;akcesoria komputerowe;Fellowes Smart Design 104-Key Enhanced Keyboard, PS/2 Adapter, Platinum;1129.695;195.79;0.06;0.74;14;-48.195
18405;PL-2011-087846;2017-04-17;krytyczny;11;lotniczy standardowy;ma³e pude³ko;ma³a firma;K01041;artyku³y biurowe;etykiety;Avery 48;227.815;22.05;0.07;0.39;1.75;157.19235
18409;PL-2011-087570;2017-08-18;wysoki;3;lotniczy standardowy;ma³e pude³ko;biuro w domu;K02141;artyku³y biurowe;segregatory;Wilson Jones Custom Binder Spines & Labels;68.88;19.04;0.01;0.36;26.11;-64.6737
